Title,Artist,Type
Stayin Alive,Bee Gees,Banger!
Love Will Tear Us Apart,Joy Division,Banger!
Papa Was a Rollin Stone,The Temptations,Banger!
Rocket Man,Elton John,Banger!
Try a Little Tenderness,Otis Redding,Banger!
Loser,Beck,Banger!
Walk This Way,Run-DMC,Banger!
Ziggy Stardust,David Bowie,Banger!
Whats Love Got to Do With It,Tina Turner,Banger!
Say It Loud - Im Black and Im Proud,James Brown,Banger!
With a Little Help From My Friends,The Beatles,Banger!
One Way or Another,Blondie,Banger!
Get Up,Bob Marley and the Wailers,Banger!
Bitter Sweet Symphony,The Verve,Banger!
Im a Man,Bo Diddley,Banger!
Sweet Dreams (Are Made of This),Eurythmics,Banger!
I Shot the Sheriff,Bob Marley and the Wailers,Banger!
Push It,Salt 'n Pepa,Banger!
Sweet Home Alabama,Lynyrd Skynyrd,Banger!
(Dont Fear) the Reaper,Blue Öyster Cult,Banger!
Summer in the City,The Lovin' Spoonful,Banger!
Lady Marmalade,LaBelle,Banger!
Super Freak,Rick James,Banger!
Soul Man,Sam and Dave,Banger!
What's Up?,4 Non Blondes,Banger!
Take On Me,A Ha,Banger!
Fernando,Abba,Banger!
Gimme Gimme Gimme,Abba,Banger!
Money Money Money,Abba,Banger!
Super Trouper,Abba,Banger!
Voulez Vous,Abba,Banger!
Waterloo,Abba,Banger!
Girl On Fire,Alicia Keys,Banger!
Valerie ('68 version),Amy Winehouse,Banger!
Heavy On My Heart,Anastacia,Banger!
I'm Outta Love,Anastacia,Banger!
Left Outside Alone,Anastacia,Banger!
Sick & Tired,Anastacia,Banger!
Jai Ho! (You Are My Destiny),AR Rahman & Pussycat Dolls,Banger!
Dangerous Woman,Ariana Grande,Banger!
No Tears Left to Cry,Ariana Grande,Banger!
Thank U Next,Ariana Grande,Banger!
The Tide Is High,Atomic Kitten,Banger!
Hey Brother,Avicii,Banger!
Wake Me Up,Avicii & Aloe Blacc,Banger!
Everybody (Backstreets Back),Backstreet Boys,Banger!
Larger Than Life,Backstreet Boys,Banger!
Eternal Flame,Bangles,Banger!
Manic Monday,Bangles,Banger!
Now You're Gone,Basshunter,Banger!
Come Together,Beatles,Banger!
Hey Jude,Beatles,Banger!
Ticket To Ride,Beatles,Banger!
Run The World (Girls),Beyonce,Banger!
Single Ladies (Put A Ring On It),Beyonce,Banger!
Achy Breaky Heart,Billy Ray Cyrus,Banger!
Don't Phunk With My Heart,Black Eyed Peas,Banger!
My Humps,Black Eyed Peas,Banger!
Heart Of Glass,Blondie,Banger!
Bad Touch,Bloodhound Gang,Banger!
All Rise,Blue,Banger!
Ghost Riders In The Sky,Blues Brothers,Banger!
Rawhide,Blues Brothers,Banger!
Buffalo Soldier,Bob Marley & The Wailers,Banger!
Rasputin,Boney M,Banger!
Rivers Of Babylon,Boney M,Banger!
Holding Out For A Hero,Bonnie Tyler,Banger!
Total Eclipse Of The Heart,Bonnie Tyler,Banger!
Baby One More Time,Britney Spears,Banger!
Oops! I Did It Again,Britney Spears,Banger!
Overprotected,Britney Spears,Banger!
Toxic,Britney Spears,Banger!
You Drive Me Crazy,Britney Spears,Banger!
24K Magic,Bruno Mars,Banger!
One Kiss,Calvin Harris & Dua Lipa,Banger!
Kung Fu Fighting,Carl Douglas,Banger!
Everytime We Touch,Cascada,Banger!
Forget You,Cee Lo Green,Banger!
Believe,Cher,Banger!
Walking In Memphis,Cher,Banger!
Le Freak,Chic,Banger!
Tubthumping,Chumbawumba,Banger!
Rise Like A Phoenix,Conchita Wurst,Banger!
Rhythm Of The Night,Corona,Banger!
Karma Chameleon,Culture Club,Banger!
Life On Mars,David Bowie,Banger!
When Love Takes Over,David Guetta & Kelly Rowland,Banger!
Titanium,David Guetta & Sia,Banger!
Lose My Breath,Destiny's Child,Banger!
Soldier,Destiny's Child,Banger!
Hey Baby,DJ Otzi,Banger!
I'm Still Standing,Elton John,Banger!
All Shook Up,Elvis Presley,Banger!
Cleaning Out My Closet,Eminem,Banger!
Lose Yourself,Eminem,Banger!
Tonight (I'm Loving You),Enrique Iglesias & Ludacris,Banger!
We Are Young,Fun & Janelle Monae,Banger!
Crazy,Gnarls Barkley,Banger!
Hollaback Girl,Gwen Stefani,Banger!
Rich Girl,Gwen Stefani,Banger!
Want You Back,Haim,Banger!
Wake Up,Hillary Duff,Banger!
Jump Around,House Of Pain,Banger!
Take Me To Church,Hozier,Banger!
I Love It (clean version),Icona Pop & Charli XCX,Banger!
Let It Go (from Frozen),Idina Menzel,Banger!
Fame,Irene Cara,Banger!
Flashdance (What A Feeling),Irene Cara,Banger!
Blame It On The Boogie,Jackson 5,Banger!
These Boots Are Made For Walkin',Jessica Simpson,Banger!
Country Roads (Take Me Home),John Denver,Banger!
What Do You Mean,Justin Bieber,Banger!
Senorita,Justin Timberlake,Banger!
Sexyback,Justin Timberlake,Banger!
Wavin' Flag,K'Naan,Banger!
Hot n Cold,Katy Perry,Banger!
Roar,Katy Perry,Banger!
Milkshake,Kelis,Banger!
Commander,Kelly Rowland & David Guetta,Banger!
HUMBLE,Kendrick Lamar,Banger!
King Kunta,Kendrick Lamar,Banger!
Can't Get You Out Of My Head,Kylie Minogue,Banger!
Old Town Road,Lil Nas X,Banger!
Who'd Have Known,Lily Allen,Banger!
Run For Home,Lindisfarne,Banger!
Hakuna Matata,Lion King,Banger!
Sexy & I Know It,Lmfao,Banger!
Euphoria (Eurovision Winner 2012 Sweden),Loreen,Banger!
Mambo No.5,Lou Bega,Banger!
Mama Said,Lukas Graham,Banger!
Bad Girls,M.I.A,Banger!
La Isla Bonita,Madonna,Banger!
Lean On,Major Lazer & DJ Snake & MO,Banger!
Touch My Body,Mariah Carey,Banger!
All About That Bass,Meghan Trainor,Banger!
I Will Wait,Mumford & Sons,Banger!
Torn,Natalie Imbruglia,Banger!
Hypnotize,Notorious BIG,Banger!
Driver's Licence,Olivia Rodrigo,Banger!
Cheerleader,Omi,Banger!
Still Into You,Paramore,Banger!
You Can Call Me Al,Paul Simon,Banger!
Get The Party Started,Pink,Banger!
The Irish Rover,Pogues & Dubliners,Banger!
Firestarter,Prodigy,Banger!
Gangnam Style,PSY,Banger!
Don't Cha?,Pussycat Dolls,Banger!
Hit The Road Jack,Ray Charles,Banger!
Cotton Eye Joe,Rednex,Banger!
Never Gonna Give You Up,Rick Astley,Banger!
Livin' La Vida Loca,Ricky Martin,Banger!
Bit__ Better Have My Money,Rihanna,Banger!
Diamonds,Rihanna,Banger!
Only Girl In The World,Rihanna,Banger!
Where Have You Been,Rihanna,Banger!
Have You Met Miss Jones?,Robbie Williams,Banger!
Let Me Entertain You,Robbie Williams,Banger!
Call Your Girlfriend,Robyn,Banger!
Life Is A Rollercoaster,Ronan Keating,Banger!
S Club Party,S Club 7,Banger!
Space Man (Eurovision 2022 UK Entry),Sam Ryder,Banger!
She Doesn't Mind,Sean Paul,Banger!
Angel,Shaggy,Banger!
Boombastic,Shaggy,Banger!
It Wasn't Me,Shaggy,Banger!
She Wolf,Shakira,Banger!
Whenever Wherever,Shakira,Banger!
Man! I Feel Like A Woman,Shania Twain,Banger!
That Don't Impress Me Much,Shania Twain,Banger!
Don't Feel Like Crying,Sigrid,Banger!
High Five,Sigrid,Banger!
Watch Me (Whip Nae Nae),Silento,Banger!
Baby Got Back [Explicit],Sir Mix A Lot,Banger!
Thong Song,Sisqo,Banger!
Where Are U Now,Skrillex & Diplo & Justin Bieber,Banger!
Sweat (clean),Snoop Dogg & David Guetta,Banger!
